id,carat,cut,color,clarity,depth,table,x,y,z,price
2229,1.03,Premium,G,SI2,60.3,60,6.54,6.57,3.95,4744
2230,0.61,Ideal,H,SI1,62.8,55,5.39,5.44,3.39,1395
2231,1.04,Very Good,F,SI1,58.9,62,6.63,6.66,3.9,5736
2232,1.31,Ideal,J,SI2,63.3,56.4,6.89,6.82,4.34,5258
2233,0.55,Ideal,F,VS2,61.2,56,5.28,5.33,3.25,1956
2234,0.56,Ideal,E,SI1,60.5,57,5.29,5.32,3.22,1778
2235,2.08,Very Good,H,SI1,62.9,58,8.15,8.07,5.1,17666
2236,2.05,Premium,I,SI2,61.2,60,8.19,8.13,4.99,13892
2237,1.05,Premium,H,SI2,62.3,58,6.53,6.47,4.05,4050
2238,1.55,Premium,H,VS1,62.4,60,7.34,7.37,4.59,12100
2239,0.31,Premium,E,VS2,61,58,4.34,4.36,2.65,680
2240,1.01,Premium,H,VS2,61.8,59,6.5,6.44,4,5260
2241,0.5,Ideal,E,VS1,61.5,58,5.12,5.09,3.14,1682
2242,0.72,Ideal,E,SI2,62.1,55,5.74,5.78,3.58,2720
2243,1.51,Premium,E,SI2,60.6,60,7.39,7.33,4.45,7365
2244,1.5,Premium,H,VS2,60.2,60,7.47,7.43,4.49,10291
2245,0.41,Ideal,E,VS1,60.9,57,4.78,4.84,2.92,1157
2246,0.42,Ideal,G,SI1,62.1,54,4.79,4.81,2.98,918
2247,0.31,Very Good,H,VS1,62.9,59,4.31,4.33,2.72,698
2248,0.36,Ideal,F,VS2,60.3,56,4.64,4.66,2.79,744
2249,0.34,Ideal,F,SI2,61.3,55,4.54,4.5,2.77,574
2250,1.5,Premium,H,SI1,61.3,58,7.43,7.4,4.55,10336
2251,0.3,Good,G,SI1,63.4,59,4.26,4.29,2.71,492
2252,1.66,Premium,J,VS2,62.9,59,7.54,7.45,4.72,8758
2253,0.7,Very Good,D,SI1,61.6,59,5.63,5.65,3.47,2731
2254,0.3,Very Good,D,SI2,63,57,4.28,4.31,2.71,447
2255,1.5,Good,J,VS2,62.9,59,7.22,7.3,4.55,7418
2256,0.4,Premium,D,SI2,62,59,4.74,4.77,2.95,874
2257,0.5,Good,D,SI1,63.7,60,5.03,5.04,3.22,1321
2258,0.32,Premium,H,VS2,62.4,58,4.32,4.37,2.71,449
2259,0.52,Ideal,E,SI2,61.7,56,5.16,5.2,3.2,1246
2260,0.42,Premium,D,SI2,62.9,58,4.75,4.72,2.98,898
2261,0.33,Ideal,G,VVS1,61,56,4.42,4.49,2.72,995
2262,1.91,Ideal,I,VS1,62.8,57,7.9,7.84,4.93,15335
2263,0.51,Ideal,D,VS1,61.6,56,5.13,5.16,3.17,1882
2264,0.72,Ideal,H,VS2,62.7,57,5.74,5.69,3.58,2175
2265,1.01,Very Good,E,VS2,62.8,56,6.33,6.46,4.02,6759
2266,2.02,Good,J,SI1,60.1,61,8.17,8.28,4.92,12621
2267,0.31,Very Good,F,IF,63.5,54,4.29,4.3,2.73,914
2268,1.06,Ideal,E,SI2,61.7,57,6.58,6.55,4.05,5319
2269,0.9,Good,D,SI1,63.1,56,6.14,6.18,3.89,4612
2270,0.31,Premium,F,VS2,62.6,58,4.33,4.35,2.71,672
2271,0.31,Very Good,J,VS1,62.9,58,4.28,4.3,2.7,452
2272,0.7,Premium,G,VS1,61.8,58,5.7,5.74,3.54,2612
2273,0.85,Ideal,J,SI1,62.9,56,6,6.08,3.79,1953
2274,1.09,Ideal,D,SI2,62.1,57,6.59,6.63,4.1,5657
2275,0.43,Premium,E,VS1,59.9,58,4.92,4.94,2.94,1177
2276,0.41,Ideal,G,IF,61.5,57,4.78,4.81,2.95,1367
2277,0.79,Ideal,E,VS2,62.4,56,5.93,5.9,3.68,3172
2278,0.4,Ideal,E,VS1,61.5,56,4.74,4.72,2.91,1125
2279,1.26,Ideal,J,VVS2,62.1,55,6.93,6.89,4.29,12342
2280,1.55,Premium,G,VS2,62,60,7.32,7.46,4.57,12843
2281,0.73,Premium,D,SI1,62.9,58,5.75,5.71,3.59,2886
2282,0.32,Ideal,I,VVS2,61.2,56,4.42,4.41,2.7,720
2283,0.31,Ideal,G,IF,62.7,56,4.37,4.31,2.72,959
2284,0.32,Ideal,I,VS1,61.9,55.6,4.41,4.44,2.74,529
2285,0.33,Ideal,J,VS2,61.8,57,4.48,4.44,2.76,557
2286,0.41,Premium,E,VS1,60.3,57,4.77,4.81,2.89,1079
2287,0.31,Ideal,G,VS2,62.4,54,4.33,4.35,2.71,544
2288,1.01,Very Good,E,VS1,63.1,54,6.39,6.33,4.01,9908
2289,0.9,Good,H,SI2,63.4,56,6.13,6.1,3.88,3093
2290,1,Premium,H,SI2,62.5,58,6.42,6.34,3.99,3790
2291,0.3,Ideal,D,SI2,62.1,56,4.28,4.32,2.67,604
2292,1.54,Premium,F,SI2,61.6,60,7.41,7.37,4.56,9391
2293,0.3,Very Good,H,VS2,62.6,56,4.27,4.32,2.69,491
2294,0.7,Ideal,E,VVS1,62,55,5.64,5.68,3.51,4065
2295,0.3,Ideal,G,VVS1,62,55,4.29,4.32,2.67,789
2296,0.7,Premium,F,SI2,62.8,58,5.68,5.63,3.55,2172
2297,0.35,Ideal,E,VS2,62.6,56,4.52,4.45,2.83,1113
2298,1.53,Premium,J,VS2,62.5,58,7.36,7.41,4.6,7730
2299,0.7,Very Good,F,SI1,62.4,56,5.71,5.68,3.55,2197
2300,0.37,Premium,F,SI2,61.6,58,4.59,4.62,2.84,511
2301,0.31,Premium,G,VVS1,61.7,58,4.36,4.39,2.7,877
2302,0.51,Ideal,D,VS1,62.1,56,5.13,5.16,3.19,1917
2303,1.06,Ideal,H,IF,60.8,58,6.54,6.57,4,8938
2304,1.12,Ideal,D,SI2,61.5,55,6.68,6.66,4.11,5140
2305,0.38,Ideal,F,VS2,61.8,55,4.66,4.69,2.88,791
2306,0.5,Very Good,F,VS1,60,59,5.16,5.21,3.12,1652
2307,1.14,Ideal,H,SI1,60.2,57,6.83,6.78,4.1,5209
2308,0.31,Fair,E,SI1,64.7,57,4.28,4.24,2.75,698
2309,1.11,Ideal,H,SI1,62.4,57,6.65,6.61,4.14,5353
2310,1,Very Good,F,VS2,62.2,54,6.36,6.41,3.96,7211
2311,0.7,Very Good,F,VS2,63.3,59,5.63,5.59,3.54,3026
2312,0.26,Premium,F,VVS1,60.4,59,4.12,4.17,2.51,684
2313,0.35,Premium,G,VS2,60.4,58,4.59,4.56,2.77,827
2314,1.5,Very Good,E,VS2,60.6,60,7.42,7.38,4.48,18107
2315,0.73,Ideal,E,VS2,62.5,56,5.76,5.78,3.61,3053
2316,0.52,Very Good,D,SI1,63,58,5.12,5.14,3.23,1388
2317,0.32,Premium,G,VS1,62.4,58,4.35,4.38,2.73,616
2318,0.24,Very Good,D,VVS2,58.5,59,4.04,4.1,2.38,552
2319,1.2,Ideal,F,VS2,61.2,57,6.78,6.91,4.2,8714
2320,0.9,Very Good,H,VS1,62.5,56,6.1,6.19,3.84,4580
2321,0.52,Very Good,E,VS2,62,54,5.16,5.23,3.22,1621
2322,0.56,Very Good,E,SI1,61.5,56,5.27,5.33,3.27,1698
2323,0.35,Ideal,G,VVS2,61.7,56,4.53,4.55,2.8,816
2324,1.01,Ideal,F,VS2,61.3,57,6.5,6.46,3.97,6727
2325,1.22,Very Good,F,SI2,63.2,55,6.77,6.74,4.28,6973
2326,0.31,Premium,I,VVS1,60.5,59,4.38,4.42,2.66,626
2327,0.77,Ideal,G,VS1,60.8,55,5.89,5.94,3.6,3403
2328,0.3,Ideal,G,VVS1,61.9,56,4.31,4.33,2.67,814
2329,0.7,Very Good,G,VS1,61.8,58,5.65,5.69,3.5,2632
2330,0.57,Ideal,D,VVS2,61.8,56,5.33,5.35,3.3,2302
2331,2.02,Ideal,I,SI2,62.2,57,8.11,8.06,5.04,14715
2332,0.3,Very Good,G,VS2,61.7,61,4.31,4.33,2.67,675
2333,0.31,Ideal,E,SI2,61.7,57,4.33,4.35,2.68,464
2334,1.03,Premium,D,SI1,60.8,59,6.43,6.39,3.9,5283
2335,0.3,Premium,G,VVS2,61.7,58,4.28,4.35,2.66,878
2336,0.73,Premium,G,VVS2,61.5,59,5.77,5.8,3.56,3421
2337,0.51,Very Good,G,VVS1,60,56,5.25,5.22,3.15,2041
2338,1,Good,H,SI1,57.9,60,6.6,6.55,3.8,5204
2339,0.57,Ideal,D,SI2,61.5,56,5.34,5.37,3.3,1226
2340,1.02,Very Good,G,VS2,61.6,58,6.44,6.48,3.98,6313
2341,0.35,Ideal,D,VS2,61,57,4.55,4.58,2.78,957
2342,0.71,Premium,G,VS2,62.5,59,5.76,5.71,3.58,2762
2343,0.9,Premium,I,VS2,62,59,6.17,6.19,3.84,3717
2344,0.71,Premium,F,VS1,61.2,55,5.79,5.75,3.53,2961
2345,1.21,Premium,F,SI2,60.4,59,6.86,6.89,4.16,5949
2346,0.71,Very Good,J,SI1,63.3,59,5.63,5.69,3.58,1871
2347,1.16,Ideal,G,SI2,61.7,55,6.79,6.81,4.19,5246
2348,0.7,Ideal,G,VS2,62.6,54,5.68,5.72,3.56,2510
2349,1,Very Good,E,SI2,62.4,57,6.4,6.37,3.98,4028
2350,1.06,Ideal,G,VS2,61.6,57,6.56,6.51,4.03,6309
2351,0.53,Ideal,G,VS1,61.1,57,5.24,5.28,3.2,1858
2352,0.34,Ideal,E,SI1,62,55,4.48,4.46,2.77,765
2353,1.05,Ideal,G,VS1,61.3,56,6.56,6.58,4.03,7553
2354,1.05,Ideal,H,SI1,61.8,54,6.5,6.56,4.04,5291
2355,1.22,Ideal,D,VS2,62.6,55,6.79,6.77,4.25,8658
2356,2.08,Ideal,I,SI2,62.2,55,8.18,8.13,5.08,17050
2357,1.5,Very Good,H,SI2,62.9,58,7.22,7.3,4.57,7943
2358,1.33,Very Good,H,SI2,62,59,6.97,7.03,4.33,6785
2359,0.9,Ideal,H,VS1,62.1,57,6.06,6.19,3.8,4466
2360,1.01,Very Good,E,VS1,63.1,58,6.41,6.34,4.02,7602
2361,1.1,Ideal,H,SI1,60.8,56,6.7,6.73,4.09,6451
2362,0.33,Ideal,G,IF,61.6,56,4.48,4.44,2.75,954
2363,0.71,Ideal,E,SI1,60.9,56,5.77,5.78,3.52,2782
2364,0.32,Ideal,E,VS1,61.2,56,4.42,4.45,2.71,727
2365,0.7,Ideal,E,SI2,61,56,5.72,5.77,3.51,2453
2366,1.52,Ideal,I,SI1,60.2,60,7.44,7.37,4.46,8291
2367,0.51,Ideal,E,SI1,60.9,57,5.16,5.22,3.16,1325
2368,0.32,Very Good,G,VVS2,62.7,54,4.39,4.41,2.76,730
2369,0.41,Ideal,H,IF,61.9,59,4.71,4.73,2.92,1187
2370,0.38,Ideal,F,VS1,61.8,56,4.68,4.64,2.89,1052
2371,0.32,Ideal,D,VS2,61.6,55,4.37,4.4,2.7,758
2372,0.71,Premium,G,SI1,61.8,56,5.75,5.71,3.54,2317
2373,0.53,Ideal,D,VS2,60.6,57,5.28,5.25,3.19,1953
2374,0.72,Ideal,G,SI1,62.5,55,5.7,5.73,3.58,2187
2375,1.03,Ideal,G,VS2,61.4,55,6.5,6.52,4,6198
2376,1.03,Premium,F,SI2,61.3,57,6.55,6.5,3.99,4783
2377,0.32,Very Good,D,SI1,63.2,56,4.41,4.38,2.77,756
2378,0.3,Ideal,I,VVS2,61.3,55,4.34,4.36,2.67,675
2379,0.3,Very Good,F,SI2,59.8,63,4.32,4.35,2.6,421
2380,0.23,Very Good,E,VVS2,62.3,59,3.94,3.98,2.47,530
2381,0.5,Premium,E,SI1,62.8,57,5.08,5.05,3.17,984
2382,0.43,Premium,G,IF,60.8,58,4.89,4.91,2.98,1433
2383,0.32,Premium,H,SI1,62.4,59,4.4,4.35,2.73,591
2384,1.03,Ideal,D,VS2,62,56,6.53,6.55,4.05,7955
2385,0.54,Ideal,F,SI1,60.2,56,5.29,5.31,3.19,1369
2386,0.9,Good,E,SI1,62.2,62,6.08,6.11,3.79,4211
2387,1.01,Premium,H,VS2,61.1,59,6.48,6.44,3.94,5250
2388,1.02,Premium,G,VS2,62.8,58,6.43,6.38,4.02,6047
2389,1.11,Ideal,F,VS1,59.8,57,6.76,6.79,4.06,10341
2390,1.01,Ideal,H,SI1,61.2,57,6.44,6.49,3.96,5387
2391,0.3,Ideal,D,SI1,62.6,55,4.28,4.32,2.69,552
2392,0.44,Ideal,D,VS1,62.7,57,4.8,4.83,3.02,1571
2393,0.33,Ideal,D,VS2,61.8,54,4.47,4.5,2.77,781
2394,0.32,Ideal,D,VVS1,62.3,55,4.42,4.38,2.74,1020
2395,0.31,Ideal,H,SI1,62.1,56,4.34,4.36,2.7,530
2396,2.03,Ideal,I,SI1,62,55,8.1,8.13,5.05,17143
2397,0.7,Ideal,D,VS1,62.4,56,5.65,5.7,3.54,3581
2398,1.2,Premium,G,VS1,62.3,59,6.82,6.77,4.23,8265
2399,0.7,Very Good,H,VVS1,61.2,57,5.74,5.68,3.49,3381
2400,0.34,Ideal,G,VS2,60.6,56,4.49,4.52,2.73,555
2401,1.56,Ideal,F,SI1,61.4,55,7.48,7.52,4.6,14247
2402,0.57,Ideal,G,VS1,61.4,56,5.34,5.4,3.3,1894
2403,0.76,Premium,E,SI2,60.3,59,5.95,5.88,3.57,2672
2404,0.31,Ideal,D,VS2,62.7,57,4.36,4.33,2.72,942
2405,0.3,Ideal,I,VS2,61.7,57,4.31,4.33,2.67,429
2406,1,Very Good,E,VS1,59.1,60,6.51,6.58,3.87,7430
2407,1.01,Good,E,VS1,63.1,59,6.36,6.39,4.03,7477
2408,0.74,Premium,E,VS1,61.7,60,5.81,5.78,3.58,3566
2409,1.24,Premium,I,VS2,61.4,56,6.9,6.93,4.24,5889
2410,0.38,Premium,D,VVS2,61.8,60,4.65,4.61,2.85,1192
2411,1.7,Very Good,I,VS2,63.4,56,7.62,7.55,4.84,10083
2412,0.33,Ideal,D,VVS2,61.2,56,4.5,4.47,2.75,1240
2413,0.71,Premium,E,VS1,62.8,59,5.69,5.65,3.56,3136
2414,0.5,Ideal,E,VS2,62.5,57,5.04,5.1,3.17,1586
2415,1.21,Premium,G,SI1,62.7,55,6.79,6.74,4.24,6738
2416,0.39,Ideal,F,VVS1,62.3,54.1,4.67,4.7,2.92,739
2417,1.58,Premium,G,SI2,60.7,60,7.54,7.56,4.56,8874
2418,0.31,Ideal,G,VS1,60.6,57,4.36,4.39,2.65,666
2419,1.12,Premium,H,SI1,61.1,57,6.75,6.7,4.1,5373
2420,0.31,Ideal,F,VVS1,61.8,55,4.33,4.37,2.69,741
2421,1.06,Premium,F,VS1,60.2,60,6.65,6.62,4,9057
2422,0.63,Ideal,G,VVS1,61.9,55,5.47,5.5,3.4,2577
2423,1.01,Very Good,F,SI2,62.6,56,6.38,6.42,4.01,4678
2424,0.5,Ideal,E,SI1,62,57,5.12,5.07,3.16,1407
2425,0.55,Ideal,I,VS1,61.4,57,5.28,5.31,3.25,1572
2426,1.02,Premium,E,VVS2,61.6,58,6.44,6.46,3.97,8712
2427,0.75,Very Good,E,SI2,63.4,55,5.76,5.79,3.66,2487
2428,1,Very Good,E,VVS1,63.8,60,6.3,6.21,4,9744
2429,2.21,Premium,J,VS2,61.3,59,8.36,8.32,5.11,17168
2430,1.52,Premium,G,VVS1,60.2,59,7.53,7.49,4.53,14867
2431,0.72,Ideal,D,SI2,62.4,58,5.69,5.71,3.56,2551
2432,0.7,Fair,G,VS1,66.6,61,5.57,5.46,3.61,3044
2433,0.31,Ideal,F,SI1,61.5,56,4.33,4.37,2.68,593
2434,0.4,Premium,G,SI1,62.7,59,4.69,4.72,2.95,737
2435,0.71,Ideal,H,VS2,61.3,57,5.73,5.75,3.52,2075
2436,0.43,Ideal,G,VS1,61.9,54,4.85,4.87,3.01,1005
2437,2.04,Premium,H,SI2,62.7,59,8.01,8.1,5.05,11255
2438,0.52,Ideal,D,VVS1,61.1,56,5.2,5.24,3.19,2668
2439,0.31,Premium,E,VS1,61,61,4.37,4.35,2.66,816
2440,0.9,Premium,D,SI1,62.6,60,6.16,6.18,3.86,4271
2441,0.41,Ideal,E,VS2,61.1,56,4.82,4.79,2.94,999
2442,0.3,Ideal,G,SI1,62.3,55,4.27,4.29,2.67,477
2443,1.5,Premium,F,SI2,62.1,58,7.37,7.32,4.56,8038
2444,1.55,Ideal,I,VS2,62.9,56,7.37,7.35,4.62,8932
2445,0.5,Ideal,D,VVS2,61.8,57,5.12,5.1,3.15,2376
2446,1.02,Premium,F,SI1,60.4,60,6.51,6.47,3.92,5855
2447,0.41,Very Good,E,SI2,62.8,58,4.71,4.73,2.96,683
2448,0.32,Ideal,H,SI1,62,57,4.39,4.41,2.73,540
2449,1.2,Ideal,I,SI2,62.3,57,6.76,6.81,4.23,4698
2450,1.04,Ideal,E,SI1,61.4,55,6.52,6.56,4.01,5413
2451,0.4,Ideal,E,SI1,61.9,56,4.73,4.74,2.93,788
2452,0.25,Very Good,E,VVS2,62.9,56,3.99,4.04,2.53,547
2453,1.54,Premium,H,VS2,60.8,60,7.49,7.46,4.54,11746
2454,1.7,Very Good,F,VS2,63.5,57,7.48,7.52,4.79,16854
2455,1.18,Premium,F,VS1,62.3,60,6.79,6.74,4.21,8866
2456,0.3,Very Good,E,VVS2,63.5,59,4.23,4.2,2.69,844
2457,1.01,Premium,E,SI1,63,59,6.42,6.4,4.03,5183
2458,0.4,Ideal,E,SI2,61.5,56,4.74,4.78,2.92,641
2459,0.4,Ideal,F,VS1,61.9,56,4.78,4.76,2.95,982
2460,0.32,Premium,H,VS1,58.7,61,4.4,4.43,2.62,596
2461,1.01,Premium,H,SI1,59,59,6.58,6.48,3.86,4860
2462,0.51,Ideal,G,SI2,61.6,56,5.11,5.17,3.17,1046
2463,1.25,Ideal,F,VS2,61.6,57,6.92,6.88,4.25,10332
2464,0.31,Ideal,F,VS1,62.3,57,4.32,4.35,2.7,694
2465,0.23,Very Good,E,VVS2,61.4,60,3.93,3.98,2.42,505
2466,0.46,Premium,F,SI1,60.6,59,4.96,5.02,3.01,930
2467,0.33,Very Good,E,VS2,61.1,57,4.46,4.49,2.73,692
2468,0.38,Ideal,D,SI1,61.9,57,4.66,4.63,2.87,790
2469,1.05,Good,F,SI1,64.1,58,6.37,6.41,4.11,4925
2470,0.31,Ideal,D,VS1,62,53,4.34,4.37,2.7,683
2471,1.01,Ideal,F,SI2,60.3,59,6.5,6.53,3.93,3942
2472,0.45,Very Good,F,VVS2,61.4,57,4.9,4.96,3.03,1263
2473,0.54,Premium,D,VS1,60.2,58,5.29,5.32,3.19,1939
2474,0.71,Premium,F,VS1,62.5,58,5.73,5.69,3.57,2882
2475,0.71,Very Good,F,VS1,62.4,59,5.66,5.69,3.55,2720
2476,0.7,Ideal,G,SI1,60.6,56,5.8,5.75,3.5,2610
2477,0.72,Ideal,G,SI1,62,56,5.74,5.8,3.57,2607
2478,0.91,Ideal,H,VS2,61.4,57,6.23,6.28,3.84,3792
2479,0.7,Very Good,E,VS2,60.4,58,5.78,5.83,3.5,2845
2480,1.01,Premium,F,SI1,62.6,58,6.41,6.34,3.99,4678
2481,0.58,Ideal,G,VVS2,62.5,55,5.33,5.38,3.35,2059
2482,1.73,Premium,I,VS2,62.8,59,7.61,7.58,4.76,12182
2483,0.3,Very Good,G,VS1,61.6,57,4.27,4.31,2.64,542
2484,0.61,Ideal,D,SI1,61.5,57,5.43,5.51,3.36,1979
2485,0.72,Ideal,E,VS2,61.7,55,5.76,5.8,3.57,2898
2486,0.9,Premium,G,SI2,62.8,59,6.08,6.13,3.84,3591
2487,0.34,Premium,E,VS2,60.2,58,4.5,4.53,2.72,696
2488,0.3,Ideal,E,VVS1,62.3,56,4.3,4.32,2.68,862
2489,0.3,Ideal,E,VVS2,62.5,56,4.28,4.3,2.68,1013
2490,0.3,Premium,H,SI1,61.8,62,4.33,4.31,2.67,540
2491,0.7,Premium,H,SI2,59.9,61,5.85,5.8,3.48,1812
2492,1.26,Ideal,I,SI1,61.6,56,7,6.93,4.3,5755
2493,0.91,Premium,D,SI1,60.9,58,6.21,6.25,3.8,4086
2494,1.11,Ideal,H,SI1,62.3,54,6.65,6.62,4.14,6096
2495,1.01,Premium,F,SI2,62.6,59,6.39,6.36,3.99,4158
2496,1.51,Fair,I,SI2,65,61,7.08,6.97,4.61,5620
2497,0.7,Very Good,F,VS2,63.4,55,5.59,5.64,3.56,2652
2498,1.03,Ideal,H,SI1,61.9,55,6.49,6.46,4.01,4959
2499,0.32,Ideal,D,VVS1,61.7,54,4.39,4.42,2.72,974
2500,0.31,Premium,G,SI1,61.7,59,4.35,4.35,2.68,377
2501,2.14,Premium,G,VS2,62.4,58,8.22,8.16,5.12,18515
2502,0.31,Ideal,E,VVS2,61.5,56,4.34,4.37,2.68,864
2503,0.91,Good,E,SI1,63.7,59,6.11,6.15,3.92,4227
2504,1.5,Very Good,D,VS2,60.8,55,7.35,7.4,4.48,16425
2505,0.3,Premium,D,VS2,62.2,58,4.25,4.27,2.65,710
2506,0.58,Ideal,F,SI1,61.7,56,5.34,5.4,3.31,1607
2507,0.41,Premium,E,VS2,62.9,58,4.75,4.7,2.97,863
2508,0.75,Ideal,I,VS2,60.9,57,5.84,5.87,3.57,2522
2509,1.01,Ideal,F,SI1,62.2,56,6.45,6.4,3.99,4899
2510,1,Premium,F,SI1,61,60,6.4,6.35,3.89,5713
2511,1.52,Premium,I,SI2,60.9,59,7.43,7.36,4.51,7817
2512,0.4,Ideal,F,VS1,61.6,57,4.72,4.75,2.91,943
2513,0.7,Ideal,F,SI2,62.9,56,5.62,5.66,3.55,2297
2514,2.08,Ideal,H,SI2,61.8,55,8.16,8.22,5.05,16778
2515,1.51,Very Good,I,SI1,63.1,59,7.21,7.25,4.57,7504
2516,1.01,Premium,F,SI1,61,59,6.51,6.45,3.94,5347
2517,0.91,Very Good,D,SI1,63,58,6.11,6.15,3.87,3819
2518,0.34,Ideal,E,VS1,61.1,56,4.51,4.53,2.76,739
2519,0.33,Ideal,G,VVS1,61.6,56,4.45,4.48,2.75,814
2520,0.31,Ideal,E,VS1,62,54.4,4.35,4.37,2.7,685
2521,0.3,Very Good,E,VS2,61.6,58,4.27,4.3,2.64,596
2522,0.31,Ideal,F,SI1,62.7,56,4.29,4.31,2.7,415
2523,1.66,Ideal,G,SI2,61.9,57,7.65,7.61,4.72,10553
2524,1.07,Premium,G,SI2,62.5,58,6.54,6.58,4.1,4258
2525,0.3,Premium,D,VVS1,62.7,58,4.24,4.27,2.68,957
2526,0.34,Premium,H,IF,61.1,58,4.49,4.52,2.75,852
2527,1.2,Ideal,F,VS1,61.9,57,6.81,6.74,4.19,9005
2528,1.24,Ideal,I,SI1,62.1,56,6.85,6.89,4.28,5976
2529,0.7,Very Good,F,VS2,61.3,63,5.67,5.71,3.48,2762
2530,0.31,Ideal,J,SI2,61.2,57,4.32,4.36,2.66,344
2531,0.71,Ideal,F,SI1,61.8,56,5.77,5.74,3.55,2348
2532,0.38,Ideal,E,VS2,62.2,55,4.66,4.64,2.89,810
2533,0.35,Ideal,F,VS2,61.7,57,4.54,4.55,2.81,906
2534,1.11,Very Good,E,VS1,61.6,58,6.64,6.7,4.12,8991
2535,0.78,Ideal,I,VS2,61.3,56,5.93,5.91,3.62,2792
2536,1.03,Very Good,E,SI2,63.6,58,6.38,6.35,4.05,4563
2537,1.17,Ideal,J,SI1,61.3,55,6.79,6.83,4.18,5125
2538,0.57,Ideal,F,SI1,61.8,57,5.33,5.35,3.29,1728
2539,1.02,Premium,I,SI1,63,59,6.42,6.4,4.05,4229
2540,1,Good,F,VS2,63.2,58,6.31,6.38,4.01,5980
2541,0.3,Premium,H,VVS1,62.1,59,4.26,4.29,2.65,684
2542,1.7,Very Good,H,SI1,63.1,60,7.51,7.46,4.73,10312
2543,0.33,Ideal,G,VS1,61.8,55,4.46,4.49,2.77,723
2544,0.4,Ideal,D,VVS2,61.4,56,4.75,4.79,2.93,1314
2545,0.7,Premium,F,SI1,62.4,58,5.66,5.68,3.54,2596
2546,0.9,Very Good,F,SI1,62.3,58,6.07,6.15,3.81,3945
2547,0.55,Ideal,D,SI1,61.9,55,5.29,5.26,3.26,1687
2548,1.1,Very Good,G,VS2,60,59,6.75,6.84,4.06,6686
2549,0.4,Ideal,G,VS1,61.8,55,4.76,4.79,2.95,1104
2550,0.71,Ideal,E,SI1,61.9,57,5.74,5.72,3.55,2729
2551,1.2,Ideal,H,SI1,60.5,57,6.94,6.9,4.17,6012
2552,1.5,Good,J,VS2,62.2,60,7.16,7.23,4.48,7652
2553,1,Very Good,F,VS2,63.1,58,6.29,6.23,3.95,4961
2554,0.57,Very Good,G,SI1,60.5,57,5.38,5.35,3.25,1320
2555,0.77,Good,G,SI1,60.1,65,5.99,5.95,3.58,2907
2556,2.01,Ideal,I,SI2,60.4,59,8.13,8.16,4.94,12626
2557,0.77,Premium,G,SI2,61.9,58,5.88,5.81,3.63,2484
2558,0.91,Very Good,E,SI2,63.5,55,6.17,6.13,3.9,3951
2559,0.53,Very Good,E,SI2,62,58,5.19,5.24,3.23,1212
2560,1.02,Very Good,E,SI2,63.4,57,6.41,6.34,4.04,4884
2561,0.3,Ideal,E,SI1,61.6,57,4.33,4.34,2.67,742
2562,1.01,Good,I,SI1,63.8,58,6.29,6.35,4.03,4625
2563,0.33,Ideal,E,VVS1,61.9,56,4.39,4.43,2.73,865
2564,0.74,Premium,H,SI2,61.7,58,5.76,5.83,3.56,2125
2565,0.43,Ideal,D,VS1,62.1,54,4.83,4.85,3,1202
2566,0.72,Ideal,G,SI1,62.5,57,5.73,5.76,3.59,2368
2567,2.01,Premium,G,SI2,62.9,59,8.14,8.07,5.09,16451
2568,1.51,Very Good,D,SI2,63.3,58,7.27,7.2,4.58,8938
2569,0.9,Ideal,H,VS1,61.8,57,6.17,6.23,3.83,4136
2570,0.7,Premium,G,VS2,62.2,58,5.68,5.65,3.51,2573
2571,0.3,Ideal,E,VS2,61.8,55,4.27,4.3,2.65,603
2572,0.41,Ideal,G,VS2,62.8,57,4.73,4.76,2.98,1061
2573,0.3,Ideal,G,VS2,62.7,55,4.28,4.31,2.69,545
2574,1.02,Premium,H,VS2,61,58,6.48,6.54,3.97,5063
2575,1.61,Premium,H,SI2,62.6,58,7.45,7.5,4.68,9432
2576,0.3,Ideal,G,VS2,61.6,56,4.34,4.3,2.66,675
2577,0.32,Very Good,H,VS1,62.1,55,4.4,4.43,2.74,505
2578,0.41,Premium,E,VS1,60.4,58,4.77,4.82,2.9,1079
2579,1.02,Ideal,D,VVS2,61.1,56,6.49,6.44,3.95,12787
2580,0.41,Ideal,I,VVS1,62.3,55,4.78,4.74,2.97,1084
2581,0.3,Ideal,G,VVS2,62.2,56,4.27,4.29,2.66,672
2582,0.51,Ideal,G,VVS1,62,55,5.16,5.2,3.2,1857
2583,1.67,Ideal,H,VS1,61.6,55,7.68,7.64,4.71,11605
2584,0.71,Premium,F,VS1,61.5,58,5.76,5.74,3.53,2825
2585,0.61,Ideal,G,VS2,61.9,59,5.45,5.43,3.37,2034
2586,0.3,Ideal,G,VVS1,61.7,55,4.32,4.34,2.67,752
2587,0.53,Ideal,G,VS1,62.4,56,5.18,5.22,3.24,1815
2588,1.5,Ideal,G,VVS2,63,58,7.29,7.25,4.58,14165
2589,0.4,Ideal,D,VVS2,62.5,57,4.7,4.69,2.93,1219
2590,0.32,Ideal,G,VS1,62.3,55,4.36,4.4,2.73,828
2591,0.31,Very Good,G,VS1,62.1,58,4.3,4.34,2.68,566
2592,1.06,Premium,G,SI2,61.8,60,6.57,6.48,4.03,4140
2593,0.7,Ideal,H,VVS2,62.2,57,5.69,5.7,3.54,3057
